phase,source_line,model,size,params,backend,ngl,threads,cpu_mask,cpu_strict,poll,n_batch,n_ubatch,sm,fa,ot,mmap,nopo,noh,fitt,fitc,test,t/s
A1  SMOKE TEST — does anything run now that ZenDNN is gone?,3014,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,,,,100,,2048,,1,exps=CPU,,1,,,,pp512,34.65 ± 0.00
A1  SMOKE TEST — does anything run now that ZenDNN is gone?,3237,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,,,,100,,2048,,1,exps=CPU,,1,,,,tg32,5.35 ± 0.00
A2  SMOKE TEST — with -C / --cpu-strict (the flags every crashed run had),5736,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,,ffffffffffffffffffffffffffffffff,1,100,,2048,,1,exps=CPU,,1,,,,pp512,34.29 ± 0.00
A2  SMOKE TEST — with -C / --cpu-strict (the flags every crashed run had),5959,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,,ffffffffffffffffffffffffffffffff,1,100,,2048,,1,exps=CPU,,1,,,,tg32,5.39 ± 0.00
"B  *** THE MAIN EVENT *** — hybrid, thread x poll sweep",8547,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,8,,,0,,2048,,1,exps=CPU,,1,,,,tg64,3.89 ± 0.01
"B  *** THE MAIN EVENT *** — hybrid, thread x poll sweep",8774,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,8,,,100,,2048,,1,exps=CPU,,1,,,,tg64,3.90 ± 0.01
"B  *** THE MAIN EVENT *** — hybrid, thread x poll sweep",9001,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,16,,,0,,2048,,1,exps=CPU,,1,,,,tg64,5.27 ± 0.02
"B  *** THE MAIN EVENT *** — hybrid, thread x poll sweep",9228,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,16,,,100,,2048,,1,exps=CPU,,1,,,,tg64,5.28 ± 0.01
"B  *** THE MAIN EVENT *** — hybrid, thread x poll sweep",9455,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,24,,,0,,2048,,1,exps=CPU,,1,,,,tg64,5.53 ± 0.01
"B  *** THE MAIN EVENT *** — hybrid, thread x poll sweep",9682,glm-dsa ?B Q4_K - Medium,435.19 GiB,753.86 B,ROCm,99,24,,,100,,2048,,1,exps=CPU,,1,,,,tg64,5.54 ± 0.00
