threads,proc_bind,kernel,best_rate_MBps,avg_time_s,min_time_s,max_time_s,rfo_corrected_GBps
8,spread,Copy,147458.6,0.108955,0.108505,0.109541,147.5
8,spread,Triad,117643.1,0.207598,0.204007,0.230761,156.9
16,spread,Copy,153472.7,0.104440,0.104253,0.104666,153.5
16,spread,Triad,114581.9,0.210431,0.209457,0.212123,152.8
32,spread,Copy,151818.7,0.105769,0.105389,0.107910,151.8
32,spread,Triad,111994.1,0.214987,0.214297,0.217774,149.3
64,spread,Copy,145415.0,0.110151,0.110030,0.110272,145.4
64,spread,Triad,109747.9,0.218784,0.218683,0.219074,146.3
128,spread,Copy,141346.7,0.113842,0.113197,0.117379,141.3
128,spread,Triad,107244.8,0.224829,0.223787,0.229293,143.0
16,close,Copy,90185.1,0.177465,0.177413,0.177565,90.2
16,close,Triad,68462.1,0.350905,0.350559,0.351429,91.3
32,close,Copy,140080.4,0.114449,0.114220,0.114887,140.1
32,close,Triad,100401.6,0.239405,0.239040,0.239945,133.9
