threads,kernel,best_rate_MBps,avg_time_s,min_time_s,max_time_s,rfo_corrected_GBps
16,Copy,151831.4,0.105755,0.105380,0.109707,151.8
16,Scale,103367.2,0.155244,0.154788,0.156321,155.1
16,Add,111945.6,0.216259,0.214390,0.226713,149.3
16,Triad,112513.9,0.214323,0.213307,0.217742,150.0
24,Copy,142439.9,0.113202,0.112328,0.125969,142.4
24,Scale,97448.0,0.164636,0.164190,0.169676,146.2
24,Add,105331.5,0.228328,0.227852,0.231805,140.4
24,Triad,105418.5,0.228264,0.227664,0.231854,140.6
32,Copy,149915.0,0.106820,0.106727,0.106895,149.9
32,Scale,100844.0,0.159070,0.158661,0.162049,151.3
32,Add,110649.5,0.217652,0.216901,0.224602,147.5
32,Triad,110620.6,0.217168,0.216958,0.217430,147.5
40,Copy,131550.9,0.121885,0.121626,0.124288,131.6
40,Scale,90391.4,0.177199,0.177008,0.178226,135.6
40,Add,97973.6,0.246132,0.244964,0.263584,130.6
40,Triad,97975.6,0.245351,0.244959,0.248582,130.6
48,Copy,143287.2,0.111816,0.111664,0.112936,143.3
48,Scale,96297.4,0.166480,0.166152,0.169055,144.4
48,Add,105824.3,0.227362,0.226791,0.232588,141.1
48,Triad,105867.3,0.227469,0.226699,0.233245,141.2
56,Copy,143317.8,0.112044,0.111640,0.114641,143.3
56,Scale,98433.6,0.162873,0.162546,0.164845,147.7
56,Add,108064.8,0.222399,0.222089,0.224996,144.1
56,Triad,108131.0,0.222771,0.221953,0.234898,144.2
64,Copy,144635.2,0.110785,0.110623,0.111242,144.6
64,Scale,98470.7,0.162965,0.162485,0.167849,147.7
64,Add,108750.8,0.221193,0.220688,0.223312,145.0
64,Triad,108813.0,0.220953,0.220562,0.223116,145.1
80,Copy,129120.8,0.124188,0.123915,0.124362,129.1
80,Scale,88254.0,0.181481,0.181295,0.181940,132.4
80,Add,96860.2,0.248104,0.247780,0.248866,129.1
80,Triad,96941.4,0.247976,0.247572,0.248696,129.3
96,Copy,140384.2,0.114090,0.113973,0.114273,140.4
96,Scale,94622.9,0.169583,0.169092,0.175544,141.9
96,Add,104775.6,0.229277,0.229061,0.229888,139.7
96,Triad,104869.4,0.229013,0.228856,0.229596,139.8
112,Copy,139904.0,0.114847,0.114364,0.117856,139.9
112,Scale,96152.1,0.166661,0.166403,0.168776,144.2
112,Add,106291.5,0.225995,0.225794,0.226519,141.7
112,Triad,106299.6,0.226158,0.225777,0.229384,141.7
128,Copy,140847.4,0.114825,0.113598,0.119273,140.8
128,Scale,96315.3,0.167290,0.166121,0.172207,144.5
128,Add,107100.2,0.225652,0.224089,0.231465,142.8
128,Triad,107157.2,0.225205,0.223970,0.229781,142.9
